x,y,z,distance_between_points,cumulative_distance,turning_angle
-3256.1273774883566,4867077.952215139,95.82442273314103,0.0,0.0,0.7804078852919929
-3257.905511542647,4867080.882883693,95.8328612509432,3.427922125514301,3.427922125514301,0.029676855179047834
-3259.9452526716705,4867084.143732941,95.85673107169626,3.846329608589184,7.274251734103485,0.8484724200597498
-3261.395180801403,4867086.459004556,95.88197383610616,2.7319244920027628,10.006176226106248,4.177780422846013
-3262.99550383108,4867088.932240988,95.88109210628193,2.945833163438317,12.952009389544566,-0.5908891410185788
-3265.383844256519,4867092.09215077,95.90540746570726,3.961034089081789,16.913043478626356,1.328811845831524
-3268.8720635349086,4867096.8075803565,95.91774433947243,5.865415766720076,22.778459245346436,-2.3488519700086954
-3271.3971864027308,4867100.060505217,95.93704104105632,4.118025984383419,26.89648522972985,0.5250744825869447
-3273.6941797640184,4867103.284103513,95.93545747870508,3.958253021510919,30.85473825124077,0.17441861074138387
-3276.1298205627127,4867106.636836796,95.95997655906017,4.144124485888171,34.998862737128945,0.269290534011418
-3280.1095731139435,4867112.080161724,95.99525431498655,6.743104712426575,41.74196744955552,0.19640153775679892
-3283.633782076864,4867116.853167597,96.01684805906407,5.933135778614002,47.67510322816952,0.708201377474893
-3286.497369406005,4867120.703769274,96.03931906274074,4.798725936266265,52.47382916443578,0.7543619958722161
-3289.428501242918,4867124.545115048,96.05479687903932,4.831946891643854,57.30577605607964,0.9283246163077479
-3293.141393408553,4867129.2803866025,96.0741868195904,6.0173699319319525,63.32314598801159,0.2678926308312839
-3300.044635372816,4867137.796648541,96.11911245599008,10.962822872916009,74.2859688609276,0.2770789144908008
-3305.05166443082,4867143.914923881,96.1481098769744,7.905977104108621,82.19194596503621,0.89155122709127
-3310.25457864424,4867150.210197007,96.19859061248394,8.167210561085202,90.3591565261214,0.3497609196859912
-3313.4604100050487,4867153.968444697,96.23496463836402,4.93994974449761,95.29910627061902,0.7000809176749954
-3318.9270560907144,4867160.298410223,96.29841635738912,8.364012739704133,103.66311901032316,0.5634905475990308
-3322.9078805084573,4867164.795631425,96.3322973465951,6.00608936924429,109.66920837956744,0.556181742816193
-3326.607434360766,4867168.893182449,96.36082493196037,5.520637365392078,115.18984574495953,0.38994965400462434
-3330.277016082866,4867172.879058952,96.37746011824474,5.417870268375926,120.60771601333543,0.5151890273437516
-3335.4085144838978,4867178.377288629,96.41475662876192,7.520917261143549,128.128633274479,0.3193276749485676
-3340.9568813416386,4867184.216034071,96.4422890865847,8.054568961308163,136.18320223578718,0.463642596570935
-3344.6218094447745,4867188.029974327,96.47307242695425,5.289497698071065,141.47269993385825,-0.12585895281517878
-3348.235237027846,4867191.729920966,96.49669796608812,5.171752332595161,146.6444522664534,0.2599719197702939
-3351.57025257592,4867195.159829954,96.52674029733312,4.784088932490737,151.42854119894417,-0.13085974698611835
-3356.722774078881,4867200.411075627,96.56792770428184,7.35702082143287,158.78556202037703,0.6808200982103472
-3360.0032118047943,4867203.769677851,96.60243975050102,4.694962369757284,163.48052439013432,0.4373238497603893
-3363.5119569940616,4867207.277653782,96.6437884856217,4.9617434082189,168.4422677983532,0.22190035784404927
-3367.0068549151174,4867210.718848809,96.65706697741416,4.904723336804738,173.34699113515796,0.5383276361326352
-3372.299894697589,4867215.890334882,96.68921568692392,7.400106207574234,180.7470973427322,0.22463957479055807
-3377.0119477102808,4867220.40842613,96.72708073603982,6.52824830140244,187.27534564413463,0.9846246689367035
-3380.4160173458795,4867223.64685366,96.76454007954273,4.698564265151657,191.97390990928628,1.3023197433490168
-3383.8484354484604,4867226.80167611,96.78963187963735,4.662084117774853,196.63599402706117,1.0677598955381882
-3387.678132106204,4867230.164321416,96.8260320491422,5.0965954238660975,201.73258945092724,0.5870474429829073
-3392.890722477437,4867234.571925919,96.88374530190444,6.826522295312457,208.5591117462397,2.518479904672631
-3396.1381067532507,4867237.261239599,96.92390917660268,4.216577503819794,212.7756892500595,2.8828121339552126
-3399.5559925945554,4867239.847225737,96.95833428878684,4.286076645991547,217.06176589605104,1.2113042546584438
-3402.9961183170312,4867242.187633648,97.01176990522735,4.161109171876792,221.22287506792784,7.913454371970374
-3408.464937476439,4867245.741458034,97.04449772091311,6.522171561583567,227.74504662951145,13.054717341741366
-3413.224496598959,4867247.971375762,97.05702856857854,5.256052999535567,233.001099629047,2.8819208445402182
-3418.291305450834,4867249.052889702,97.07688780216098,5.180986270372063,238.18208589941904,-4.418829755296656
-3423.408274549127,4867249.878641588,97.09704783293098,5.183208017876626,243.3652939172957,-3.9702997173918675
-3429.2499604425025,4867251.2903742585,97.1893332453241,6.010557362520739,249.37585127981643,2.2918561187339037
-3434.975385159763,4867253.101771631,97.27783635210264,6.005787328478587,255.38163860829505,5.091379340405183
-3438.6815232359886,4867254.113178809,97.33563237911108,3.842101547367772,259.2237401556628,4.933360704146935
-3442.2339748036006,4867254.750636384,97.3920761109109,3.609632972291448,262.8333731279542,1.5510403440705431
-3445.529985727347,4867255.0528950775,97.44535502168276,3.3102699239871733,266.1436430519413,2.2484304023773802
-3450.76496540772,4867255.390378212,97.53756394734349,5.2466569933343,271.39030004527564,3.845253754271255
-3454.284041769124,4867255.478850036,97.60224322146595,3.5207824570100748,274.9110825022857,4.236828416810084
-3457.8210313950126,4867255.330290571,97.67073898435784,3.54077070675861,278.4518532090443,1.700662162700496
-3461.435519474237,4867254.909399052,97.7815537167934,3.6405979797689456,282.09245118881324,3.6520448585332304
-3466.9303439988057,4867254.10361845,97.9352043140337,5.555716645032395,287.64816783384566,1.5693840309625102
