cumulative_distance_interp,x_interp,y_interp,radius_of_curvature_polyfit_interp
130.0,-3336.693438308674,4867179.737766528,907.7607813564192
131.0,-3337.3813717038693,4867180.463530688,936.2772435106086
132.0,-3338.0700733554786,4867181.188570568,967.3494330323354
133.0,-3338.7594314182693,4867181.912990316,1000.6657161040757
134.0,-3339.4493340470062,4867182.636894079,1035.6051083003827
135.0,-3340.139669396458,4867183.360386003,1071.3912727085967
136.0,-3340.8303256213903,4867184.083570237,1107.2660884620877
137.0,-3341.5212313090387,4867184.806512223,1142.4672515776829
138.0,-3342.2125982618513,4867185.529006298,1176.2627638461108
139.0,-3342.904759360689,4867186.250730893,1207.994531645495
140.0,-3343.598047942639,4867186.971364005,1237.0811151450444
141.0,-3344.292797344791,4867187.690583634,1263.0129927467503
142.0,-3344.9893172034035,4867188.408090697,1285.4179159309258
143.0,-3345.6874360367824,4867189.124051465,1304.1582078860417
144.0,-3346.3865343245475,4867189.839065567,1319.3530118667222
145.0,-3347.085975471869,4867190.5537491385,1331.2589943833057
146.0,-3347.7851228839204,4867191.268718323,1340.1820995550966
147.0,-3348.4833491645895,4867191.984580338,1346.4581769161193
148.0,-3349.1804998970833,4867192.701483706,1350.3207674701198
149.0,-3349.877111669824,4867193.418906805,1351.8325294074823
150.0,-3350.573775849167,4867194.136274894,1350.8765672991785
151.0,-3351.2710838014705,4867194.853013229,1347.1582466555267
152.0,-3351.9695963221584,4867195.568576827,1340.3082147341718
153.0,-3352.6693607747343,4867196.2829205515,1330.1404986550565
154.0,-3353.369998527358,4867196.996413991,1316.7570522922404
155.0,-3354.0711180558496,4867197.7094392795,1300.52098824591
156.0,-3354.772327836032,4867198.422378559,1282.009329956227
157.0,-3355.4732363437256,4867199.135613961,1261.9590198570559
158.0,-3356.173452054753,4867199.849527627,1241.1826602751148
159.0,-3356.872585526864,4867200.564499652,1220.2422139321557
160.0,-3357.570617159946,4867201.280547278,1199.3346121554423
161.0,-3358.268319888317,4867201.996910209,1178.3106784458564
162.0,-3358.9665689997005,4867202.712727721,1156.7346113472236
163.0,-3359.666239781824,4867203.427139097,1134.010948092999
164.0,-3360.3681787569576,4867204.139311821,1109.6189854675895
165.0,-3361.0726276344085,4867204.849006425,1083.1646574972103
166.0,-3361.779253274276,4867205.5565471025,1054.3838934054693
167.0,-3362.487699768808,4867206.26228037,1023.1447896322945
168.0,-3363.1976112102507,4867206.9665527465,989.4898643544491
169.0,-3363.9086365218486,4867207.669706261,953.757528582395
170.0,-3364.6205105566946,4867208.372003103,916.5476416150741
171.0,-3365.333042072888,4867209.073636792,878.6224819076601
172.0,-3366.046042237411,4867209.774798608,840.8140200940621
173.0,-3366.7593222172445,4867210.475679836,803.9608611250616
174.0,-3367.47271106547,4867211.176453417,768.7553416103036
175.0,-3368.1862564149583,4867211.8770681685,735.6283657017715
176.0,-3368.9001521472774,4867212.577322947,704.7846929506163
177.0,-3369.614594827571,4867213.277013861,676.2462006886391
178.0,-3370.3297810209783,4867213.975937013,649.8928788558212
179.0,-3371.045907292643,4867214.673888511,625.5732152084245
180.0,-3371.763170207706,4867215.370664462,603.1096203122494
181.0,-3372.481765048222,4867216.0660623005,582.2157862624229
182.0,-3373.2017362200377,4867216.760035604,562.5608729438055
183.0,-3373.9228374304007,4867217.452838809,543.8135230974904
184.0,-3374.644789309411,4867218.144760581,525.6396613982039
185.0,-3375.367312487169,4867218.836089584,507.7337779448256
186.0,-3376.090127593777,4867219.527114485,489.82934785390535
187.0,-3376.8129552593373,4867220.218123953,471.7033533658459
188.0,-3377.535579376091,4867220.909340509,453.2135029768495
189.0,-3378.2583836077292,4867221.6003596,434.4239287863409
190.0,-3378.9820825898387,4867222.290430637,415.5546094955301
191.0,-3379.7073944284557,4867222.978799395,396.91454847318664
192.0,-3380.4350372276635,4867223.664711663,378.86015046890213
193.0,-3381.1656101868343,4867224.347530131,361.6186116168625
194.0,-3381.8992726668334,4867225.027049984,345.27739970621957
195.0,-3382.636082350409,4867225.703166378,329.847778370159
196.0,-3383.37609692031,4867226.375774469,315.27841253532887
197.0,-3384.1193722813086,4867227.044771486,301.46389403371313
198.0,-3384.865877898757,4867227.710155213,288.2724942079951
199.0,-3385.6154597553796,4867228.372067095,275.55818490578037
200.0,-3386.3679543505827,4867229.030659605,263.1652051838234
201.0,-3387.123198183773,4867229.686085218,250.94954022115422
202.0,-3387.8810269409796,4867230.338497501,238.79613362819958
203.0,-3388.641192963558,4867230.988161724,226.62865019445942
204.0,-3389.4032942587482,4867231.635550006,214.43164261540122
205.0,-3390.1669121098435,4867232.281156886,202.2972769798926
206.0,-3390.9316278001347,4867232.925476897,190.3809351124404
207.0,-3391.697022612916,4867233.569004577,178.84700607850561
208.0,-3392.46267783148,4867234.212234462,167.83412529678904
209.0,-3393.2282071460895,4867234.855622036,157.4396209006018
210.0,-3393.994225830522,4867235.498415958,147.71271019019895
211.0,-3394.762517917397,4867236.138456611,138.66662678726044
212.0,-3395.534933531312,4867236.773504743,130.29361189019232
213.0,-3396.313320101616,4867237.401323498,122.57408806358352
214.0,-3397.0990975873233,4867238.0200560335,115.48148469923008
215.0,-3397.8927947251746,4867238.628637776,108.9852063494528
216.0,-3398.6948287938267,4867239.226103233,103.05362468184974
217.0,-3399.505617071937,4867239.811486915,97.65672711025773
218.0,-3400.3251247178364,4867240.38450499,92.76702475982627
219.0,-3401.151139354773,4867240.948156698,88.35984811354834
220.0,-3401.9807938724566,4867241.506428412,84.41588153909734
221.0,-3402.8112210316094,4867242.063306708,80.92058430491868
222.0,-3403.6399774722922,4867242.622194278,77.86264854612247
223.0,-3404.46799333252,4867243.181846947,75.23362855705463
224.0,-3405.297810396828,4867243.73880056,73.02726847202379
225.0,-3406.131980448694,4867244.289577183,71.2376066769888
226.0,-3406.9730552715964,4867244.830698892,69.85860465091223
227.0,-3407.823586649014,4867245.35868775,68.88442831377284
228.0,-3408.6861212471417,4867245.870056119,68.30961652699813
229.0,-3409.562615906018,4867246.360197077,68.1285852844126
230.0,-3410.4538973995295,4867246.822359227,68.33484882488357
231.0,-3411.360664796647,4867247.2495488385,68.92117859294771
232.0,-3412.28361716634,4867247.634772176,69.87943485862313
233.0,-3413.22345357758,4867247.971035512,71.19982179320192
234.0,-3414.18015843228,4867248.2541527,72.87152935028317
235.0,-3415.1508480181187,4867248.491205065,74.88722330871046
236.0,-3416.131919224915,4867248.692100104,77.24535738031791
237.0,-3417.119768942492,4867248.866745316,79.95087130979799
238.0,-3418.1107940606685,4867249.0250482,83.00832106333587
239.0,-3419.101694699672,4867249.176397417,86.41612616257868
240.0,-3420.091287486949,4867249.326560202,90.1623141479328
241.0,-3421.079291037614,4867249.479760468,94.22583308562002
242.0,-3422.0654273124173,4867249.640216395,98.58076753685413
243.0,-3423.0494182721054,4867249.812146164,103.19411864985405
244.0,-3424.030980530678,4867249.999574037,108.02310322413678
245.0,-3425.00976074281,4867250.203986961,113.01043562028329
246.0,-3425.9853564233354,4867250.425089644,118.07639804416733
247.0,-3426.9573640677927,4867250.662549831,123.11712593585145
248.0,-3427.925380171721,4867250.916035267,128.0035425042169
249.0,-3428.88900123066,4867251.1852136925,132.57802260962097
250.0,-3429.8478989129358,4867251.469585613,136.6515611621441
251.0,-3430.8027687622375,4867251.766373643,140.02362164957734
252.0,-3431.75504587487,4867252.071155063,142.5033532668748
253.0,-3432.7061817622753,4867252.379470636,143.932083111741
254.0,-3433.6576279358933,4867252.686861122,144.20494168573464
255.0,-3434.610835907166,4867252.988867285,143.28530695039802
256.0,-3435.567223538965,4867253.281072287,141.20451205675437
257.0,-3436.5277400819505,4867253.55964983,138.0531754700226
258.0,-3437.492991089952,4867253.821206735,133.9673007814167
259.0,-3438.4635742064393,4867254.06235979,129.12156318727384
260.0,-3439.439983945518,4867254.279863166,123.72770857295095
261.0,-3440.4218917314597,4867254.471567489,118.01936996335097
